Timestamp (s), Actor Name
6.00, dataset_images\Govinda\Govinda5
6.20, dataset_images\Govinda\Govinda5
6.40, dataset_images\Govinda\Govinda5
6.60, dataset_images\Govinda\Govinda5
7.40, dataset_images\Govinda\Govinda5
7.60, dataset_images\Govinda\Govinda5
7.80, dataset_images\Govinda\Govinda5
8.00, dataset_images\Govinda\Govinda5
8.20, dataset_images\Govinda\Govinda5
8.40, dataset_images\Govinda\Govinda5
9.80, dataset_images\Govinda\Govinda1
16.80, dataset_images\Govinda\Govinda5
29.80, dataset_images\Govinda\Govinda1
30.00, dataset_images\Govinda\Govinda1
33.80, dataset_images\Govinda\Govinda5
34.20, dataset_images\Govinda\Govinda5
35.80, dataset_images\Govinda\Govinda5
37.00, dataset_images\Govinda\Govinda5
37.20, dataset_images\Govinda\Govinda5
37.40, dataset_images\Govinda\Govinda5
38.60, dataset_images\Govinda\Govinda5
39.20, dataset_images\Govinda\Govinda5
39.40, dataset_images\Govinda\Govinda5
39.60, dataset_images\Govinda\Govinda5
39.80, dataset_images\Salman_Khan\salman-khan1
40.00, dataset_images\Salman_Khan\salman-khan1
40.20, dataset_images\Govinda\Govinda5
40.40, dataset_images\Govinda\Govinda5
40.60, dataset_images\Salman_Khan\salman-khan1
40.80, dataset_images\Salman_Khan\salman-khan1
41.20, dataset_images\Govinda\Govinda
41.40, dataset_images\Govinda\Govinda
41.60, dataset_images\Govinda\Govinda
41.80, dataset_images\Govinda\Govinda
42.80, dataset_images\Govinda\Govinda
43.20, dataset_images\Govinda\Govinda
43.40, dataset_images\Govinda\Govinda
43.60, dataset_images\Govinda\Govinda
43.80, dataset_images\Govinda\Govinda
44.00, dataset_images\Govinda\Govinda5
45.40, dataset_images\Govinda\Govinda
45.60, dataset_images\Govinda\Govinda
45.80, dataset_images\Salman_Khan\salman-khan1
46.00, dataset_images\Govinda\Govinda5
46.40, dataset_images\Govinda\Govinda
46.60, dataset_images\Govinda\Govinda
46.80, dataset_images\Govinda\Govinda
47.00, dataset_images\Govinda\Govinda5
47.20, dataset_images\Salman_Khan\salman-khan1
47.40, dataset_images\Govinda\Govinda5
49.60, dataset_images\Govinda\Govinda2
49.80, dataset_images\Govinda\Govinda2
50.00, dataset_images\Govinda\Govinda
52.20, dataset_images\Govinda\Govinda1
52.80, dataset_images\Govinda\Govinda1
54.60, dataset_images\katrina_kaif\Katrina_Kaif
54.80, dataset_images\katrina_kaif\Katrina_Kaif
55.00, dataset_images\katrina_kaif\Katrina_Kaif
55.20, dataset_images\katrina_kaif\Katrina_Kaif
55.40, dataset_images\katrina_kaif\Katrina_Kaif
55.60, dataset_images\katrina_kaif\Katrina_Kaif
55.80, dataset_images\katrina_kaif\Katrina_Kaif
56.00, dataset_images\katrina_kaif\Katrina_Kaif
56.60, dataset_images\katrina_kaif\Katrina_Kaif
56.80, dataset_images\katrina_kaif\Katrina_Kaif
57.00, dataset_images\katrina_kaif\Katrina_Kaif
57.20, dataset_images\katrina_kaif\Katrina_Kaif
57.40, dataset_images\katrina_kaif\Katrina_Kaif
57.60, dataset_images\katrina_kaif\Katrina_Kaif
57.80, dataset_images\katrina_kaif\Katrina_Kaif
58.00, dataset_images\katrina_kaif\Katrina_Kaif
58.20, dataset_images\katrina_kaif\Katrina_Kaif
58.40, dataset_images\katrina_kaif\Katrina_Kaif
61.60, dataset_images\Salman_Khan\Salman_Khan
61.80, dataset_images\Salman_Khan\Salman_Khan
62.00, dataset_images\Salman_Khan\salman-khan1
62.20, dataset_images\Salman_Khan\Salman_Khan
62.40, dataset_images\Salman_Khan\Salman_Khan
62.60, dataset_images\Salman_Khan\Salman_Khan
62.80, dataset_images\Salman_Khan\Salman_Khan
63.00, dataset_images\Salman_Khan\Salman_Khan
66.60, dataset_images\Salman_Khan\Salman_Khan
66.80, dataset_images\Salman_Khan\salman-khan1
67.00, dataset_images\Salman_Khan\salman-khan1
67.20, dataset_images\Salman_Khan\Salman_Khan
67.40, dataset_images\Salman_Khan\salman-khan1
67.60, dataset_images\Salman_Khan\Salman_Khan
67.80, dataset_images\Salman_Khan\salman-khan1
68.40, dataset_images\Salman_Khan\salman-khan1
68.60, dataset_images\Salman_Khan\Salman_Khan
68.80, dataset_images\Salman_Khan\salman-khan1
69.00, dataset_images\Salman_Khan\Salman_Khan
69.20, dataset_images\Salman_Khan\Salman_Khan
69.40, dataset_images\Salman_Khan\Salman_Khan
76.60, dataset_images\Govinda\Govinda1
77.20, dataset_images\Govinda\Govinda5
77.40, dataset_images\Govinda\Govinda5
77.60, dataset_images\Govinda\Govinda1
77.80, dataset_images\Govinda\Govinda1
78.00, dataset_images\Govinda\Govinda5
78.40, dataset_images\Govinda\Govinda5
78.60, dataset_images\Govinda\Govinda5
81.60, dataset_images\katrina_kaif\Katrina_Kaif
81.80, dataset_images\katrina_kaif\Katrina_Kaif
82.20, dataset_images\katrina_kaif\Katrina_Kaif
82.40, dataset_images\Salman_Khan\salman-khan1
82.60, dataset_images\Salman_Khan\salman-khan1
82.80, dataset_images\Salman_Khan\Salman_Khan
83.00, dataset_images\Salman_Khan\Salman_Khan
83.20, dataset_images\Salman_Khan\Salman_Khan
83.60, dataset_images\Salman_Khan\salman-khan1
83.80, dataset_images\katrina_kaif\Katrina_Kaif
84.00, dataset_images\katrina_kaif\Katrina_Kaif
84.20, dataset_images\katrina_kaif\Katrina_Kaif
84.40, dataset_images\katrina_kaif\Katrina_Kaif
84.80, dataset_images\katrina_kaif\Katrina_Kaif
85.00, dataset_images\katrina_kaif\Katrina_Kaif
85.20, dataset_images\katrina_kaif\Katrina_Kaif
85.80, dataset_images\katrina_kaif\Katrina_Kaif
86.20, dataset_images\katrina_kaif\Katrina_Kaif
86.40, dataset_images\Salman_Khan\salman-khan1
86.60, dataset_images\Salman_Khan\salman-khan1
86.80, dataset_images\Salman_Khan\salman-khan1
87.00, dataset_images\Salman_Khan\salman-khan1
87.20, dataset_images\Salman_Khan\salman-khan1
87.40, dataset_images\katrina_kaif\Katrina_Kaif
87.60, dataset_images\katrina_kaif\Katrina_Kaif
87.80, dataset_images\katrina_kaif\Katrina_Kaif
88.00, dataset_images\katrina_kaif\Katrina_Kaif
88.20, dataset_images\katrina_kaif\Katrina_Kaif
88.40, dataset_images\katrina_kaif\Katrina_Kaif
88.60, dataset_images\Salman_Khan\salman-khan1
88.80, dataset_images\Salman_Khan\salman-khan1
89.00, dataset_images\Salman_Khan\salman-khan1
89.20, dataset_images\Govinda\Govinda1
89.40, dataset_images\Salman_Khan\salman-khan1
89.60, dataset_images\Salman_Khan\salman-khan1
89.80, dataset_images\Salman_Khan\salman-khan1
90.00, dataset_images\Salman_Khan\salman-khan1
90.20, dataset_images\Salman_Khan\salman-khan1
90.40, dataset_images\Salman_Khan\salman-khan1
90.80, dataset_images\Salman_Khan\salman-khan1
91.00, dataset_images\Salman_Khan\salman-khan1
91.20, dataset_images\Salman_Khan\salman-khan1
